Date,User,Tweet,Like Count,Media,In Reply To User,Mentioned Users,Hashtags,Language,Outlinks,Reply Count,Retweet Count,URL,Quoted Tweet
2022-07-06 19:50:21+00:00,muftimenk,"Being happy & being content are two different things. Happiness is fleeting, it comes & goes, comes mainly from the outside. Contentment comes from a deeper place. You’re at peace with what the Almighty has bestowed on you, no matter what your circumstances. You trust Him fully",24001,,,,,en,,187,7095,https://twitter.com/muftimenk/status/1544770746542612481,
2022-07-06 11:15:50+00:00,muftimenk,"You become what you constantly think about. If you think you can’t, you probably won’t make it. If you think you’re a failure, you’ll end up not doing anything significant in life. If you think negative thoughts always, you’ll end up with negative results. Guard your thoughts.",26001,,,,,en,,230,7722,https://twitter.com/muftimenk/status/1544641266276769793,
2022-07-05 19:00:04+00:00,muftimenk,Do remember that not everything about you is meant to be disclosed to everyone. Keep private things private. Be discerning. It will keep you from a ton of trouble and disappointment in the end.,25587,,,,,en,,205,6766,https://twitter.com/muftimenk/status/1544395704344494081,
2022-07-04 21:21:04+00:00,muftimenk,"Complaining to others and stressing over our problems will not solve them. The Almighty knows the best solutions to our problems. We just need to trust Him, seek His assistance and not anyone else.  Keep asking Him. He will respond.",26775,,,,,en,,278,6616,https://twitter.com/muftimenk/status/1544068802974990336,
2022-07-04 04:36:11+00:00,muftimenk,"Delays, disappointment and detours are all part of the Almighty’s Plan. You have to understand that. Valuable lessons will be taught along the way. You should try to learn as many of them. Not only will you emerge stronger, you’ll also be grateful for all He’s put you through.",28822,,,,,en,,314,8024,https://twitter.com/muftimenk/status/1543815916445728769,
2022-07-03 05:06:29+00:00,muftimenk,"Don't feel ashamed when giving little for charity because there is always goodness in giving, no matter how small the act. The Almighty sees and knows. That’s what matters.",30162,,,,,en,,263,6792,https://twitter.com/muftimenk/status/1543461153145331714,
2022-07-02 18:13:16+00:00,muftimenk,"You might think the battle is too big for you. You’re overwhelmed by the cares & stresses of life but remember, it’s nothing to the Lord of the Worlds. Nothing is impossible for Him. Hand it over to Him & see how things unfold. He will take care of all that we cannot. Have faith.",21080,,,,,en,,219,5448,https://twitter.com/muftimenk/status/1543296765369221124,
2022-07-02 09:04:13+00:00,muftimenk,"The choices you make are yours. You don’t need to explain yourself to anyone. But a lot of us feel this need to explain ourselves. Perhaps we want to be liked by everyone. Or to fit in. Whatever it is, stick to your decisions. If you think you’re wrong, correct them.",23994,,,,,en,,175,7018,https://twitter.com/muftimenk/status/1543158592978788353,
2022-07-01 16:27:56+00:00,muftimenk,The truth is nobody will truly understand what you’re going through except the Almighty. He’s the only One who knows your true circumstances and is always available when you need Him. He will heal you and make you whole again.,25550,,,,,en,,293,6779,https://twitter.com/muftimenk/status/1542907868034355203,
2022-07-01 07:33:24+00:00,muftimenk,Almighty. You’re the Turner of Hearts. You heal us in a moment. You forgive in an instant. You make the impossible a reality. May we always be ever grateful for everything You’ve bestowed on us. Aameen.,26027,,,,,en,,681,6029,https://twitter.com/muftimenk/status/1542773347402014720,
2022-06-30 20:51:11+00:00,muftimenk,Your heart whispers many things daily. Not many of them end up in your prayers. But trust Him. He knows what you need and He won't disappoint.,27291,,,,,en,,285,6395,https://twitter.com/muftimenk/status/1542611728898396160,
2022-06-30 14:28:27+00:00,muftimenk,"Never tire of doing good, even small acts. We often hear people say that no one notices any of the good they do. But the Almighty does. He’s All-Knowing. So press on & do as much as you can. Good deeds are often magnified & the rewards multiplied.",19246,,,,,en,,167,5168,https://twitter.com/muftimenk/status/1542515412738355202,
2022-06-29 22:19:11+00:00,muftimenk,"Don’t waste the most blessed days. Ten days is not a long time so be sure to fill your days with as much good as possible. The Almighty gives us these periods of spiritual boosts throughout the year. So purify your intent, make a plan and you’re on the way to accomplish much.",22882,,,,,en,,208,5422,https://twitter.com/muftimenk/status/1542271486941077504,
