,Date,User,Tweet
0,2022-07-06 19:50:21+00:00,muftimenk,"Being happy &amp; being content are two different things. Happiness is fleeting, it comes &amp; goes, comes mainly from the outside. Contentment comes from a deeper place. You’re at peace with what the Almighty has bestowed on you, no matter what your circumstances. You trust Him fully"
1,2022-07-06 11:15:50+00:00,muftimenk,"You become what you constantly think about. If you think you can’t, you probably won’t make it. If you think you’re a failure, you’ll end up not doing anything significant in life. If you think negative thoughts always, you’ll end up with negative results. Guard your thoughts."
2,2022-07-05 19:00:04+00:00,muftimenk,Do remember that not everything about you is meant to be disclosed to everyone. Keep private things private. Be discerning. It will keep you from a ton of trouble and disappointment in the end.
3,2022-07-04 21:21:04+00:00,muftimenk,"Complaining to others and stressing over our problems will not solve them. The Almighty knows the best solutions to our problems. We just need to trust Him, seek His assistance and not anyone else.  Keep asking Him. He will respond."
4,2022-07-04 04:36:11+00:00,muftimenk,"Delays, disappointment and detours are all part of the Almighty’s Plan. You have to understand that. Valuable lessons will be taught along the way. You should try to learn as many of them. Not only will you emerge stronger, you’ll also be grateful for all He’s put you through."
5,2022-07-03 05:06:29+00:00,muftimenk,"Don't feel ashamed when giving little for charity because there is always goodness in giving, no matter how small the act. The Almighty sees and knows. That’s what matters."
6,2022-07-02 18:13:16+00:00,muftimenk,"You might think the battle is too big for you. You’re overwhelmed by the cares &amp; stresses of life but remember, it’s nothing to the Lord of the Worlds. Nothing is impossible for Him. Hand it over to Him &amp; see how things unfold. He will take care of all that we cannot. Have faith."
7,2022-07-02 09:04:13+00:00,muftimenk,"The choices you make are yours. You don’t need to explain yourself to anyone. But a lot of us feel this need to explain ourselves. Perhaps we want to be liked by everyone. Or to fit in. Whatever it is, stick to your decisions. If you think you’re wrong, correct them."
8,2022-07-01 16:27:56+00:00,muftimenk,The truth is nobody will truly understand what you’re going through except the Almighty. He’s the only One who knows your true circumstances and is always available when you need Him. He will heal you and make you whole again.
9,2022-07-01 07:33:24+00:00,muftimenk,Almighty. You’re the Turner of Hearts. You heal us in a moment. You forgive in an instant. You make the impossible a reality. May we always be ever grateful for everything You’ve bestowed on us. Aameen.
10,2022-06-30 20:51:11+00:00,muftimenk,Your heart whispers many things daily. Not many of them end up in your prayers. But trust Him. He knows what you need and He won't disappoint.
11,2022-06-30 14:28:27+00:00,muftimenk,"Never tire of doing good, even small acts. We often hear people say that no one notices any of the good they do. But the Almighty does. He’s All-Knowing. So press on &amp; do as much as you can. Good deeds are often magnified &amp; the rewards multiplied."
12,2022-06-29 22:19:11+00:00,muftimenk,"Don’t waste the most blessed days. Ten days is not a long time so be sure to fill your days with as much good as possible. The Almighty gives us these periods of spiritual boosts throughout the year. So purify your intent, make a plan and you’re on the way to accomplish much."
13,2022-06-28 21:59:02+00:00,muftimenk,"We’ve all been through rough days, a difficult month or a bad year. But these are often blessings in disguise. Remember, everything the Almighty does is good. We only have to wait patiently, hold our head up and press on. Let life take its course."
14,2022-06-28 00:43:22+00:00,muftimenk,"Don’t wait to forgive someone till they apologise. You may end up waiting forever. Remember, it’s easy to hold a grudge and it’s easy to lay blame. But by doing so, you’re allowing others to have power over you.  For the sake of closure and healing, you should forgive &amp; move on."
15,2022-06-26 19:20:27+00:00,muftimenk,Some people refuse to accept the fact that you’ve changed for the better. They keep harping on the “old” you. They refuse to see you in a new light. They can’t stop talking about your past mistakes and wrongs. Ignore such people. Time to move on.
16,2022-06-26 12:12:01+00:00,muftimenk,"As humans, you expect the Almighty to answer your prayers in the way you thought was good for you. But He’s All-Knowing and may not bring you what you thought, the way you thought, but what He has planned for you will be bigger &amp; better. Something you wouldn’t have imagined."
17,2022-06-26 04:57:07+00:00,muftimenk,"Remember, people will only drive you crazy if you allow them. So don't let your anger spin out of control. If someone is irritating you, recognise those feelings and then let them go without saying much or getting into conflict. You don’t need to respond to everything."
18,2022-06-25 16:34:02+00:00,muftimenk,The evil eye is real and should not be taken lightly. Most people are negligent in protecting themselves and do not worry about showing off their blessings; posting every detail of their life on social media. Know that not everyone who sees your story will be happy for you.
19,2022-06-25 10:02:17+00:00,muftimenk,"Be careful about giving your heart fully to someone other than the Almighty. Everyone can hurt you but only He can heal you. So be wise, have realistic expectations and protect your heart as best you can from those who are too quick to profess their love for you."
20,2022-06-24 17:16:16+00:00,muftimenk,"When something doesn’t feel right, don’t do it, leave it, walk away from it. Trust your judgement, your intuition, your feeling. It’s the Almighty’s way of guiding you and steering you away from what’s not right. You don’t owe anyone any explanation. Just do it."
21,2022-06-24 06:46:18+00:00,muftimenk,Almighty. We ask for strength as we feel weak and tired from the affairs of the world. Help us to carry on in the face of adversity and whatever trials You send our way. Grant us patience and help us go through it with full faith and confidence. Aameen.
22,2022-06-23 17:01:38+00:00,muftimenk,One of the best and bravest decisions you’ll ever make is to finally let go of people who are bad for your spiritual health. Keep your heart and soul attached to the Almighty.
23,2022-06-23 06:50:44+00:00,muftimenk,"Stop overthinking. Stop feeding your mind negative thoughts and  self doubt. Love yourself enough and remember, the Almighty only wants the best for you."
24,2022-06-22 21:44:26+00:00,muftimenk,"Patience is not easy. It’s  not for the fainthearted. That’s why the rewards are so great. It can break you, wreck you, makes you want to scream and give up but you press on because you know what the Almighty loves. He is always with the patient."
25,2022-06-22 06:19:27+00:00,muftimenk,Many people get upset when their work is not acknowledged. Don’t. The Almighty knows what you’ve done and how much effort and sacrifice went into it. Isn’t that the best acknowledgment one could ever wish for?
26,2022-06-21 17:07:18+00:00,muftimenk,Don’t quit today. You’ve come this far. What you think is the worst is never the worst. Hold on tight because your biggest battles will end soon. Great breakthroughs will follow. The Almighty is always on your side whether or not you realize it. Trust Him.
27,2022-06-21 06:56:07+00:00,muftimenk,"Nowadays, many young people hang on to the belief that if it feels good, do it. This simply means you’re allowing yourself to be controlled by your moods, living life according to your feelings. This can be dangerous.  Learn to live a life of faith."
28,2022-06-20 09:54:42+00:00,muftimenk,"Everyone, including good people will do bad things. That’s the nature of humans. We all have flaws. We all commit sins. Nobody is perfect. But learn from your mistakes and try to become a better person with each passing day. It’s never too late to change."
29,2022-06-19 22:17:05+00:00,muftimenk,Nothing is too small or too big for the Almighty. Just ask Him. He never gets bored listening to your prayer. He loves it when you seek Him.
30,2022-06-19 16:12:15+00:00,muftimenk,"No matter what the odds are against you, you'll fight it; not because you have the strength but because your strength comes from the Almighty. Keep asking Him."
31,2022-06-19 07:54:01+00:00,muftimenk,The mind replays what the heart can't delete. So be careful what you keep in your heart. Purify it often with remembrance of the Almighty.
32,2022-06-18 19:21:29+00:00,muftimenk,"Don't think you’ve made it in life because of your power, position and authority. None of it will last. Nothing in this life will last. So always remain humble and attach your heart to that which matters. Keep the Almighty close and you’ll emerge the winner."
33,2022-06-17 21:37:44+00:00,muftimenk,"We live in angry times. All the sharing on social media makes it worse. Learn to control your innermost urge to retaliate. You don’t have to respond to everything. If you don't slow down when you start to see red, you could do significant damage to your life. Keep the peace."
34,2022-06-17 04:35:44+00:00,muftimenk,"Almighty. On this blessed day, save us from Your trials and heal the wounds we have been keeping inside for too long. Grant us good patience to go through whatever You send our way. Show us a way out of our difficulties. Keep us firm in faith. Aameen."
35,2022-06-16 21:08:09+00:00,muftimenk,Life is never smooth sailing. We all get knocked down at some stage. The biggest test is how quickly we get back up. We must never stay down for long. Seek the Almighty’s help and you’ll stand up again and start moving forward.
36,2022-06-16 07:21:08+00:00,muftimenk,"Don’t waste your valuable time with people who have nothing but negativity in them. They criticise everything and everyone in the most damaging ways. Unless you know you can help them, choose to stay away from such toxic people. Do it for your well-being."
37,2022-06-15 18:35:13+00:00,muftimenk,"Some will continue to hate you for no apparent reason. Instead of constructive criticism, they’re out to destroy people with their comments. Show them you’re happy with who you are by doing what you do best. Show them that you’re not affected by their immaturity."
38,2022-06-15 06:27:08+00:00,muftimenk,"Some get a big thrill from boasting about their achievements or showing off their possessions. They believe that they’re better than others. They may even end up pushing people around. That’s wrong. Remember, whatever you have, someone will have more. That’s life. Stay humble."
39,2022-06-14 15:33:09+00:00,muftimenk,"As humans, we love to plan. We plan for today, tommorw, the future. It’s fine to plan. Dream. Hope. Pray for the best. But put your trust in the One who knows you better than you know yourself. And in the process, always remember that the Almighty is the Best of Planners."
40,2022-06-13 22:24:29+00:00,muftimenk,"The trouble with us is we stress over everything. We want to micromanage and control things. Don’t. The truth is six months from now or even sooner, everything you're stressing about won't even matter. Take things in your stride. Let the Almighty take charge."
